name,slug,sku,genericName,brand,description,form,strength,packSize,categoryIds,regulatoryClass,nafdacRegNo,manufacturer,status,price,cost,compareAt,isAvailable,openingQuantity,reorderLevel,batchNo,expiry,reason
Bupivacaine 500mg,bupivacaine-500mg-tablet,,Bupivacaine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10610,2028-12-30,Bulk import: inventory_3000
Pentazocine 500mg,pentazocine-500mg-tablet,,Pentazocine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10611,2028-12-30,Bulk import: inventory_3000
Pethidine 500mg,pethidine-500mg-tablet,,Pethidine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10612,2028-12-30,Bulk import: inventory_3000
Tramadol 500mg,tramadol-500mg-tablet,,Tramadol,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10613,2028-12-30,Bulk import: inventory_3000
Acetylsalicylic Acid 500mg,acetylsalicylic-acid-500mg-tablet,,Acetylsalicylic Acid,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10614,2028-12-30,Bulk import: inventory_3000
Allopurinol 500mg,allopurinol-500mg-tablet,,Allopurinol,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10618,2028-12-30,Bulk import: inventory_3000
Diclofenac Sodium 500mg,diclofenac-sodium-500mg-tablet,,Diclofenac Sodium,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10619,2028-12-30,Bulk import: inventory_3000
Ibuprofen 500mg,ibuprofen-500mg-tablet,,Ibuprofen,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10621,2028-12-30,Bulk import: inventory_3000
Naproxen 500mg,naproxen-500mg-tablet,,Naproxen,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10623,2028-12-30,Bulk import: inventory_3000
Piroxicam 500mg,piroxicam-500mg-tablet,,Piroxicam,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10624,2028-12-30,Bulk import: inventory_3000
Meloxicam 500mg,meloxicam-500mg-tablet,,Meloxicam,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10625,2028-12-30,Bulk import: inventory_3000
Naloxone 500mg,naloxone-500mg-tablet,,Naloxone,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10626,2028-12-30,Bulk import: inventory_3000
Chlorpheniramine 500mg,chlorpheniramine-500mg-tablet,,Chlorpheniramine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10627,2028-12-30,Bulk import: inventory_3000
Hydrocortisone 500mg,hydrocortisone-500mg-tablet,,Hydrocortisone,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10628,2028-12-30,Bulk import: inventory_3000
Prednisolone 500mg,prednisolone-500mg-tablet,,Prednisolone,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10629,2028-12-30,Bulk import: inventory_3000
Phenobarbital 500mg,phenobarbital-500mg-tablet,,Phenobarbital,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10630,2028-12-30,Bulk import: inventory_3000
Phenytoin 500mg,phenytoin-500mg-tablet,,Phenytoin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10631,2028-12-30,Bulk import: inventory_3000
Sodium Valproate 500mg,sodium-valproate-500mg-tablet,,Sodium Valproate,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10632,2028-12-30,Bulk import: inventory_3000
Carbamazepine 500mg,carbamazepine-500mg-tablet,,Carbamazepine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10633,2028-12-30,Bulk import: inventory_3000
Amoxicillin 500mg,amoxicillin-500mg-tablet,,Amoxicillin,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10634,2028-12-30,Bulk import: inventory_3000
Ampicillin 500mg,ampicillin-500mg-tablet,,Ampicillin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10636,2028-12-30,Bulk import: inventory_3000
Cloxacillin 500mg,cloxacillin-500mg-tablet,,Cloxacillin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10637,2028-12-30,Bulk import: inventory_3000
Ceftriaxone 500mg,ceftriaxone-500mg-tablet,,Ceftriaxone,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10638,2028-12-30,Bulk import: inventory_3000
Cefuroxime 500mg,cefuroxime-500mg-tablet,,Cefuroxime,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10639,2028-12-30,Bulk import: inventory_3000
Erythromycin 500mg,erythromycin-500mg-tablet,,Erythromycin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10641,2028-12-30,Bulk import: inventory_3000
Metronidazole 500mg,metronidazole-500mg-tablet,,Metronidazole,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10643,2028-12-30,Bulk import: inventory_3000
Gentamicin 500mg,gentamicin-500mg-tablet,,Gentamicin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10645,2028-12-30,Bulk import: inventory_3000
Doxycycline 500mg,doxycycline-500mg-tablet,,Doxycycline,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10646,2028-12-30,Bulk import: inventory_3000
Cotrimoxazole 500mg,cotrimoxazole-500mg-tablet,,Cotrimoxazole,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10647,2028-12-30,Bulk import: inventory_3000
Artemether + Lumefantrine 500mg,artemether-lumefantrine-500mg-tablet,,Artemether + Lumefantrine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10648,2028-12-30,Bulk import: inventory_3000
Artesunate 500mg,artesunate-500mg-tablet,,Artesunate,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10649,2028-12-30,Bulk import: inventory_3000
Amodiaquine 500mg,amodiaquine-500mg-tablet,,Amodiaquine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10650,2028-12-30,Bulk import: inventory_3000
Quinine 500mg,quinine-500mg-tablet,,Quinine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10651,2028-12-30,Bulk import: inventory_3000
Fluconazole 500mg,fluconazole-500mg-tablet,,Fluconazole,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10652,2028-12-30,Bulk import: inventory_3000
Nystatin 500mg,nystatin-500mg-tablet,,Nystatin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10653,2028-12-30,Bulk import: inventory_3000
Amlodipine 500mg,amlodipine-500mg-tablet,,Amlodipine,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10654,2028-12-30,Bulk import: inventory_3000
Lisinopril 500mg,lisinopril-500mg-tablet,,Lisinopril,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10656,2028-12-30,Bulk import: inventory_3000
Atenolol 500mg,atenolol-500mg-tablet,,Atenolol,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10658,2028-12-30,Bulk import: inventory_3000
Propranolol 500mg,propranolol-500mg-tablet,,Propranolol,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10659,2028-12-30,Bulk import: inventory_3000
Methyldopa 500mg,methyldopa-500mg-tablet,,Methyldopa,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10660,2028-12-30,Bulk import: inventory_3000
Hydralazine 500mg,hydralazine-500mg-tablet,,Hydralazine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10661,2028-12-30,Bulk import: inventory_3000
Glyceryl Trinitrate 500mg,glyceryl-trinitrate-500mg-tablet,,Glyceryl Trinitrate,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10662,2028-12-30,Bulk import: inventory_3000
Isosorbide Dinitrate 500mg,isosorbide-dinitrate-500mg-tablet,,Isosorbide Dinitrate,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10663,2028-12-30,Bulk import: inventory_3000
Digoxin 500mg,digoxin-500mg-tablet,,Digoxin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10664,2028-12-30,Bulk import: inventory_3000
Furosemide 500mg,furosemide-500mg-tablet,,Furosemide,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10665,2028-12-30,Bulk import: inventory_3000
Hydrochlorothiazide 500mg,hydrochlorothiazide-500mg-tablet,,Hydrochlorothiazide,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10667,2028-12-30,Bulk import: inventory_3000
Spironolactone 500mg,spironolactone-500mg-tablet,,Spironolactone,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10668,2028-12-30,Bulk import: inventory_3000
Atorvastatin 500mg,atorvastatin-500mg-tablet,,Atorvastatin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10669,2028-12-30,Bulk import: inventory_3000
Simvastatin 500mg,simvastatin-500mg-tablet,,Simvastatin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10670,2028-12-30,Bulk import: inventory_3000
Salbutamol 500mg,salbutamol-500mg-tablet,,Salbutamol,,,tablet,500mg,,,POM,,,draft,0,,,true,200,20,B10671,2028-12-30,Bulk import: inventory_3000
Aminophylline 500mg,aminophylline-500mg-tablet,,Aminophylline,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10673,2028-12-30,Bulk import: inventory_3000
Omeprazole 500mg,omeprazole-500mg-tablet,,Omeprazole,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10674,2028-12-30,Bulk import: inventory_3000
Cimetidine 500mg,cimetidine-500mg-tablet,,Cimetidine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10675,2028-12-30,Bulk import: inventory_3000
Metoclopramide 500mg,metoclopramide-500mg-tablet,,Metoclopramide,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10676,2028-12-30,Bulk import: inventory_3000
Zinc Sulfate 500mg,zinc-sulfate-500mg-tablet,,Zinc Sulfate,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10677,2028-12-30,Bulk import: inventory_3000
Bisacodyl 500mg,bisacodyl-500mg-tablet,,Bisacodyl,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10678,2028-12-30,Bulk import: inventory_3000
Glibenclamide 500mg,glibenclamide-500mg-tablet,,Glibenclamide,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10681,2028-12-30,Bulk import: inventory_3000
Glimepiride 500mg,glimepiride-500mg-tablet,,Glimepiride,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10682,2028-12-30,Bulk import: inventory_3000
Levothyroxine 500mg,levothyroxine-500mg-tablet,,Levothyroxine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10683,2028-12-30,Bulk import: inventory_3000
Carbimazole 500mg,carbimazole-500mg-tablet,,Carbimazole,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10684,2028-12-30,Bulk import: inventory_3000
Folic Acid 500mg,folic-acid-500mg-tablet,,Folic Acid,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10685,2028-12-30,Bulk import: inventory_3000
Oxytocin 500mg,oxytocin-500mg-tablet,,Oxytocin,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10686,2028-12-30,Bulk import: inventory_3000
Misoprostol 500mg,misoprostol-500mg-tablet,,Misoprostol,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10687,2028-12-30,Bulk import: inventory_3000
Magnesium Sulfate 500mg,magnesium-sulfate-500mg-tablet,,Magnesium Sulfate,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10688,2028-12-30,Bulk import: inventory_3000
Amitriptyline 500mg,amitriptyline-500mg-tablet,,Amitriptyline,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10689,2028-12-30,Bulk import: inventory_3000
Fluoxetine 500mg,fluoxetine-500mg-tablet,,Fluoxetine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10690,2028-12-30,Bulk import: inventory_3000
Haloperidol 500mg,haloperidol-500mg-tablet,,Haloperidol,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10691,2028-12-30,Bulk import: inventory_3000
Chlorpromazine 500mg,chlorpromazine-500mg-tablet,,Chlorpromazine,,,tablet,500mg,,,POM,,,draft,0,,,true,100,20,B10692,2028-12-30,Bulk import: inventory_3000
Halothane 1g,halothane-1g-tablet,,Halothane,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10693,2028-12-30,Bulk import: inventory_3000
Ketamine 1g,ketamine-1g-tablet,,Ketamine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10694,2028-12-30,Bulk import: inventory_3000
Nitrous oxide 1g,nitrous-oxide-1g-tablet,,Nitrous oxide,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10695,2028-12-30,Bulk import: inventory_3000
Oxygen 1g,oxygen-1g-tablet,,Oxygen,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10696,2028-12-30,Bulk import: inventory_3000
Atropine 1g,atropine-1g-tablet,,Atropine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10697,2028-12-30,Bulk import: inventory_3000
Diazepam 1g,diazepam-1g-tablet,,Diazepam,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10698,2028-12-30,Bulk import: inventory_3000
Hyoscine N-Butylbromide 1g,hyoscine-n-butylbromide-1g-tablet,,Hyoscine N-Butylbromide,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10699,2028-12-30,Bulk import: inventory_3000
Midazolam 1g,midazolam-1g-tablet,,Midazolam,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10700,2028-12-30,Bulk import: inventory_3000
Morphine 1g,morphine-1g-tablet,,Morphine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10701,2028-12-30,Bulk import: inventory_3000
Promethazine 1g,promethazine-1g-tablet,,Promethazine,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10702,2028-12-30,Bulk import: inventory_3000
Atracurium 1g,atracurium-1g-tablet,,Atracurium,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10704,2028-12-30,Bulk import: inventory_3000
Neostigmine 1g,neostigmine-1g-tablet,,Neostigmine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10705,2028-12-30,Bulk import: inventory_3000
Suxamethonium 1g,suxamethonium-1g-tablet,,Suxamethonium,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10706,2028-12-30,Bulk import: inventory_3000
Propofol 1g,propofol-1g-tablet,,Propofol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10707,2028-12-30,Bulk import: inventory_3000
Lidocaine 1g,lidocaine-1g-tablet,,Lidocaine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10708,2028-12-30,Bulk import: inventory_3000
Bupivacaine 1g,bupivacaine-1g-tablet,,Bupivacaine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10709,2028-12-30,Bulk import: inventory_3000
Pentazocine 1g,pentazocine-1g-tablet,,Pentazocine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10710,2028-12-30,Bulk import: inventory_3000
Pethidine 1g,pethidine-1g-tablet,,Pethidine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10711,2028-12-30,Bulk import: inventory_3000
Tramadol 1g,tramadol-1g-tablet,,Tramadol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10712,2028-12-30,Bulk import: inventory_3000
Acetylsalicylic Acid 1g,acetylsalicylic-acid-1g-tablet,,Acetylsalicylic Acid,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10713,2028-12-30,Bulk import: inventory_3000
Paracetamol 1g,paracetamol-1g-tablet,,Paracetamol,,,tablet,1g,,,POM,,,draft,0,,,true,300,20,B10714,2028-12-30,Bulk import: inventory_3000
Allopurinol 1g,allopurinol-1g-tablet,,Allopurinol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10717,2028-12-30,Bulk import: inventory_3000
Diclofenac Sodium 1g,diclofenac-sodium-1g-tablet,,Diclofenac Sodium,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10718,2028-12-30,Bulk import: inventory_3000
Ibuprofen 1g,ibuprofen-1g-tablet,,Ibuprofen,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10720,2028-12-30,Bulk import: inventory_3000
Naproxen 1g,naproxen-1g-tablet,,Naproxen,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10722,2028-12-30,Bulk import: inventory_3000
Piroxicam 1g,piroxicam-1g-tablet,,Piroxicam,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10723,2028-12-30,Bulk import: inventory_3000
Meloxicam 1g,meloxicam-1g-tablet,,Meloxicam,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10724,2028-12-30,Bulk import: inventory_3000
Naloxone 1g,naloxone-1g-tablet,,Naloxone,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10725,2028-12-30,Bulk import: inventory_3000
Chlorpheniramine 1g,chlorpheniramine-1g-tablet,,Chlorpheniramine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10726,2028-12-30,Bulk import: inventory_3000
Hydrocortisone 1g,hydrocortisone-1g-tablet,,Hydrocortisone,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10727,2028-12-30,Bulk import: inventory_3000
Prednisolone 1g,prednisolone-1g-tablet,,Prednisolone,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10728,2028-12-30,Bulk import: inventory_3000
Phenobarbital 1g,phenobarbital-1g-tablet,,Phenobarbital,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10729,2028-12-30,Bulk import: inventory_3000
Phenytoin 1g,phenytoin-1g-tablet,,Phenytoin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10730,2028-12-30,Bulk import: inventory_3000
Sodium Valproate 1g,sodium-valproate-1g-tablet,,Sodium Valproate,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10731,2028-12-30,Bulk import: inventory_3000
Carbamazepine 1g,carbamazepine-1g-tablet,,Carbamazepine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10732,2028-12-30,Bulk import: inventory_3000
Amoxicillin 1g,amoxicillin-1g-tablet,,Amoxicillin,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10733,2028-12-30,Bulk import: inventory_3000
Ampicillin 1g,ampicillin-1g-tablet,,Ampicillin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10735,2028-12-30,Bulk import: inventory_3000
Cloxacillin 1g,cloxacillin-1g-tablet,,Cloxacillin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10736,2028-12-30,Bulk import: inventory_3000
Ceftriaxone 1g,ceftriaxone-1g-tablet,,Ceftriaxone,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10737,2028-12-30,Bulk import: inventory_3000
Cefuroxime 1g,cefuroxime-1g-tablet,,Cefuroxime,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10738,2028-12-30,Bulk import: inventory_3000
Azithromycin 1g,azithromycin-1g-tablet,,Azithromycin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10739,2028-12-30,Bulk import: inventory_3000
Erythromycin 1g,erythromycin-1g-tablet,,Erythromycin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10740,2028-12-30,Bulk import: inventory_3000
Ciprofloxacin 1g,ciprofloxacin-1g-tablet,,Ciprofloxacin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10741,2028-12-30,Bulk import: inventory_3000
Metronidazole 1g,metronidazole-1g-tablet,,Metronidazole,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10742,2028-12-30,Bulk import: inventory_3000
Gentamicin 1g,gentamicin-1g-tablet,,Gentamicin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10744,2028-12-30,Bulk import: inventory_3000
Doxycycline 1g,doxycycline-1g-tablet,,Doxycycline,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10745,2028-12-30,Bulk import: inventory_3000
Cotrimoxazole 1g,cotrimoxazole-1g-tablet,,Cotrimoxazole,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10746,2028-12-30,Bulk import: inventory_3000
Artemether + Lumefantrine 1g,artemether-lumefantrine-1g-tablet,,Artemether + Lumefantrine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10747,2028-12-30,Bulk import: inventory_3000
Artesunate 1g,artesunate-1g-tablet,,Artesunate,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10748,2028-12-30,Bulk import: inventory_3000
Amodiaquine 1g,amodiaquine-1g-tablet,,Amodiaquine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10749,2028-12-30,Bulk import: inventory_3000
Quinine 1g,quinine-1g-tablet,,Quinine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10750,2028-12-30,Bulk import: inventory_3000
Fluconazole 1g,fluconazole-1g-tablet,,Fluconazole,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10751,2028-12-30,Bulk import: inventory_3000
Nystatin 1g,nystatin-1g-tablet,,Nystatin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10752,2028-12-30,Bulk import: inventory_3000
Amlodipine 1g,amlodipine-1g-tablet,,Amlodipine,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10753,2028-12-30,Bulk import: inventory_3000
Lisinopril 1g,lisinopril-1g-tablet,,Lisinopril,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10755,2028-12-30,Bulk import: inventory_3000
Atenolol 1g,atenolol-1g-tablet,,Atenolol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10757,2028-12-30,Bulk import: inventory_3000
Propranolol 1g,propranolol-1g-tablet,,Propranolol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10758,2028-12-30,Bulk import: inventory_3000
Methyldopa 1g,methyldopa-1g-tablet,,Methyldopa,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10759,2028-12-30,Bulk import: inventory_3000
Hydralazine 1g,hydralazine-1g-tablet,,Hydralazine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10760,2028-12-30,Bulk import: inventory_3000
Glyceryl Trinitrate 1g,glyceryl-trinitrate-1g-tablet,,Glyceryl Trinitrate,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10761,2028-12-30,Bulk import: inventory_3000
Isosorbide Dinitrate 1g,isosorbide-dinitrate-1g-tablet,,Isosorbide Dinitrate,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10762,2028-12-30,Bulk import: inventory_3000
Digoxin 1g,digoxin-1g-tablet,,Digoxin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10763,2028-12-30,Bulk import: inventory_3000
Furosemide 1g,furosemide-1g-tablet,,Furosemide,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10764,2028-12-30,Bulk import: inventory_3000
Hydrochlorothiazide 1g,hydrochlorothiazide-1g-tablet,,Hydrochlorothiazide,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10766,2028-12-30,Bulk import: inventory_3000
Spironolactone 1g,spironolactone-1g-tablet,,Spironolactone,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10767,2028-12-30,Bulk import: inventory_3000
Atorvastatin 1g,atorvastatin-1g-tablet,,Atorvastatin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10768,2028-12-30,Bulk import: inventory_3000
Simvastatin 1g,simvastatin-1g-tablet,,Simvastatin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10769,2028-12-30,Bulk import: inventory_3000
Salbutamol 1g,salbutamol-1g-tablet,,Salbutamol,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10770,2028-12-30,Bulk import: inventory_3000
Aminophylline 1g,aminophylline-1g-tablet,,Aminophylline,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10772,2028-12-30,Bulk import: inventory_3000
Omeprazole 1g,omeprazole-1g-tablet,,Omeprazole,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10773,2028-12-30,Bulk import: inventory_3000
Cimetidine 1g,cimetidine-1g-tablet,,Cimetidine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10774,2028-12-30,Bulk import: inventory_3000
Metoclopramide 1g,metoclopramide-1g-tablet,,Metoclopramide,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10775,2028-12-30,Bulk import: inventory_3000
Zinc Sulfate 1g,zinc-sulfate-1g-tablet,,Zinc Sulfate,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10776,2028-12-30,Bulk import: inventory_3000
Bisacodyl 1g,bisacodyl-1g-tablet,,Bisacodyl,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10777,2028-12-30,Bulk import: inventory_3000
Metformin 1g,metformin-1g-tablet,,Metformin,,,tablet,1g,,,POM,,,draft,0,,,true,200,20,B10778,2028-12-30,Bulk import: inventory_3000
Glibenclamide 1g,glibenclamide-1g-tablet,,Glibenclamide,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10780,2028-12-30,Bulk import: inventory_3000
Glimepiride 1g,glimepiride-1g-tablet,,Glimepiride,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10781,2028-12-30,Bulk import: inventory_3000
Levothyroxine 1g,levothyroxine-1g-tablet,,Levothyroxine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10782,2028-12-30,Bulk import: inventory_3000
Carbimazole 1g,carbimazole-1g-tablet,,Carbimazole,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10783,2028-12-30,Bulk import: inventory_3000
Folic Acid 1g,folic-acid-1g-tablet,,Folic Acid,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10784,2028-12-30,Bulk import: inventory_3000
Oxytocin 1g,oxytocin-1g-tablet,,Oxytocin,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10785,2028-12-30,Bulk import: inventory_3000
Misoprostol 1g,misoprostol-1g-tablet,,Misoprostol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10786,2028-12-30,Bulk import: inventory_3000
Magnesium Sulfate 1g,magnesium-sulfate-1g-tablet,,Magnesium Sulfate,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10787,2028-12-30,Bulk import: inventory_3000
Amitriptyline 1g,amitriptyline-1g-tablet,,Amitriptyline,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10788,2028-12-30,Bulk import: inventory_3000
Fluoxetine 1g,fluoxetine-1g-tablet,,Fluoxetine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10789,2028-12-30,Bulk import: inventory_3000
Haloperidol 1g,haloperidol-1g-tablet,,Haloperidol,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10790,2028-12-30,Bulk import: inventory_3000
Chlorpromazine 1g,chlorpromazine-1g-tablet,,Chlorpromazine,,,tablet,1g,,,POM,,,draft,0,,,true,100,20,B10791,2028-12-30,Bulk import: inventory_3000
Halothane 5mg,halothane-5mg-capsule,,Halothane,,,capsule,5mg,,,POM,,,draft,0,,,true,100,20,B10792,2028-12-30,Bulk import: inventory_3000
Ketamine 5mg,ketamine-5mg-capsule,,Ketamine,,,capsule,5mg,,,POM,,,draft,0,,,true,100,20,B10793,2028-12-30,Bulk import: inventory_3000
Nitrous oxide 5mg,nitrous-oxide-5mg-capsule,,Nitrous oxide,,,capsule,5mg,,,POM,,,draft,0,,,true,100,20,B10794,2028-12-30,Bulk import: inventory_3000
